11.05 16:32:28:661009721 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506348636439138_193814 | status=OK | decoded=STATUS RLS2_Dnepr_Khabarovsk ONLINE
11.05 16:32:31:461632567 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506351128844821_193814 | status=OK | decoded=SPRO_ALERT 6013a4b 1593768 3750729 8862
11.05 16:32:31:569112311 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506350633840029_193817 | status=OK | decoded=DETECT 5d8f8fb 8722835 1571130 BB_BR 9230
11.05 16:32:31:711378221 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506350653992126_193817 | status=OK | decoded=SPRO_ALERT 5d8f8fb 8722835 1571130 9230
11.05 16:32:31:831553519 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506351113172464_193817 | status=OK | decoded=DETECT be0ebeb 4998276 2250374 BB_BR 9591
11.05 16:32:31:996591392 | channel=to_kp | stage=received | file=ZRDN_1_DONETSK_1778506350635071974_206304 | status=OK | decoded=STATUS ZRDN_1_DONETSK ONLINE AMMO:20
11.05 16:32:32:41295461 | channel=to_kp | stage=received | file=ZRDN_2_LVOV_1778506350634722061_206305 | status=OK | decoded=STATUS ZRDN_2_LVOV ONLINE AMMO:20
11.05 16:32:32:83449783 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506350635950945_206306 | status=OK | decoded=STATUS ZRDN_3_KIEV ONLINE AMMO:20
11.05 16:32:32:706032631 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506351705563980_193814 | status=OK | decoded=DETECT 756c10b 10568084 7586604 BB_BR 8150
11.05 16:32:32:882303796 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506351721761628_193814 | status=OK | decoded=SPRO_ALERT 756c10b 10568084 7586604 8150
11.05 16:32:32:934078508 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506351648236598_199153 | status=OK | decoded=DETECT b6d44fb 3338250 2891358 BB_BR 8283
11.05 16:32:33:45091926 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506351671881666_199153 | status=OK | decoded=SHOT b6d44fb BB_BR AMMO:9
11.05 16:32:33:700328272 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506352815928412_193817 | status=OK | decoded=DETECT c3f09fb 5800512 3120860 BB_BR 8554
11.05 16:32:33:742636515 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506353535542336_193817 | status=OK | decoded=DETECT e11bbeb 10393835 3403600 BB_BR 8440
11.05 16:32:33:874174526 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506353551015856_193817 | status=OK | decoded=SPRO_ALERT e11bbeb 10393835 3403600 8440
11.05 16:32:34:63786472 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506353162288547_199153 | status=OK | decoded=MISS b6d44fb BB_BR
11.05 16:32:34:130860294 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506353246829241_199153 | status=OK | decoded=SHOT b6d44fb BB_BR AMMO:8
11.05 16:32:34:803451008 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506354295012953_193814 | status=OK | decoded=DETECT b6d44fb 3347750 2904930 BB_BR 8283
11.05 16:32:34:932876129 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506354316861347_193814 | status=OK | decoded=SPRO_ALERT b6d44fb 3347750 2904930 8283
11.05 16:32:35:77130268 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506354261162691_193817 | status=OK | decoded=DETECT f6c0b4b 6458880 2447370 BB_BR 9754
11.05 16:32:35:195633537 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506354281034769_193817 | status=OK | decoded=SPRO_ALERT f6c0b4b 6458880 2447370 9754
11.05 16:32:35:344526950 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506354695731501_199153 | status=OK | decoded=MISS b6d44fb BB_BR
11.05 16:32:35:476124724 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506354766982705_199153 | status=OK | decoded=SHOT b6d44fb BB_BR AMMO:7
11.05 16:32:36:279125204 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506355127730079_193814 | status=OK | decoded=DETECT 5d8f8fb 8713670 1597260 BB_BR 9230
11.05 16:32:36:408671264 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506355143073361_193814 | status=OK | decoded=SPRO_ALERT 5d8f8fb 8713670 1597260 9230
11.05 16:32:36:452174103 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_17785063568676546_193814 | status=OK | decoded=DETECT 5891b0b 6008732 4588830 BB_BR 8729
11.05 16:32:37:104404226 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506356331378225_199153 | status=OK | decoded=DESTROYED b6d44fb BB_BR
11.05 16:32:38:168934543 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850635841780306_193814 | status=OK | decoded=DETECT 573ce2b 2849216 1642800 BB_BR 8969
11.05 16:32:38:210046288 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850635857460657_193814 | status=OK | decoded=SPRO_ALERT 573ce2b 2849216 1642800 8969
11.05 16:32:43:883116481 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506363483008816_193814 | status=OK | decoded=DETECT 8fa45bb 2675075 6702607 BB_BR 8951
11.05 16:32:44:56418413 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506363503671591_193814 | status=OK | decoded=SPRO_ALERT 8fa45bb 2675075 6702607 8951
11.05 16:32:45:702441632 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506365305248144_193814 | status=OK | decoded=DETECT 8ac20bb 10165726 4265865 BB_BR 9831
11.05 16:32:45:851074199 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506365327770456_193814 | status=OK | decoded=SPRO_ALERT 8ac20bb 10165726 4265865 9831
11.05 16:32:49:527819545 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506369293002494_193814 | status=OK | decoded=DETECT be0ebeb 5083380 2327870 BB_BR 9591
11.05 16:33:00:740988021 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506380447378070_193814 | status=OK | decoded=DETECT 7cc69db 7239323 3528596 BB_BR 8366
11.05 16:33:00:913139271 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506380463526349_193814 | status=OK | decoded=SPRO_ALERT 7cc69db 7239323 3528596 8366
11.05 16:33:12:180917653 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506391748114403_193814 | status=OK | decoded=DETECT 7e5c7fb 10450018 4005896 BB_BR 8713
11.05 16:33:12:238034776 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506391766383603_193814 | status=OK | decoded=SPRO_ALERT 7e5c7fb 10450018 4005896 8713
11.05 16:33:21:462694977 | channel=to_kp | stage=received | file=ZRDN_2_LVOV_1778506401427169320_206305 | status=OK | decoded=DETECT 7765b7s 2416186 3309082 SAM 101
11.05 16:33:22:29183409 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506401634990326_193814 | status=OK | decoded=DETECT bdbcdab 8314251 4652896 BB_BR 8007
11.05 16:33:22:70738109 | channel=to_kp | stage=received | file=ZRDN_2_LVOV_1778506401456005428_206305 | status=OK | decoded=SHOT 7765b7s SAM AMMO:19
11.05 16:33:23:133050648 | channel=to_kp | stage=received | file=ZRDN_2_LVOV_1778506402929815686_206305 | status=OK | decoded=DESTROYED 7765b7s SAM
11.05 16:33:57:94158170 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506436869330863_199153 | status=OK | decoded=DETECT 51200db 3193442 2512706 BB_BR 9261
11.05 16:33:57:146238326 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506436890827544_199153 | status=OK | decoded=SHOT 51200db BB_BR AMMO:6
11.05 16:33:58:721877572 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506438533105333_199153 | status=OK | decoded=DESTROYED 51200db BB_BR
11.05 16:33:59:278367480 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506438973832245_193814 | status=OK | decoded=DETECT 4d52b0b 7103920 5218752 BB_BR 9774
11.05 16:34:05:381289157 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506445125337726_193814 | status=OK | decoded=DETECT c3f09fb 6176704 3518620 BB_BR 8554
11.05 16:34:20:683779509 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506460535563859_193817 | status=OK | decoded=DETECT 7e5c7fb 10042240 3879280 BB_BR 8713
11.05 16:34:20:738224695 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506460551033611_193817 | status=OK | decoded=SPRO_ALERT 7e5c7fb 10042240 3879280 8713
11.05 16:34:24:318592456 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506463965201127_193814 | status=OK | decoded=DETECT e11bbeb 10021694 3936440 BB_BR 8440
11.05 16:34:24:373498323 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506463980591998_193814 | status=OK | decoded=SPRO_ALERT e11bbeb 10021694 3936440 8440
11.05 16:35:01:346905878 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506500983249018_193814 | status=OK | decoded=DETECT f6c0b4b 6141360 3421140 BB_BR 9754
11.05 16:35:01:391154234 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_17785065014107751_193814 | status=OK | decoded=SPRO_ALERT f6c0b4b 6141360 3421140 9754
11.05 16:35:26:250829922 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850652688880868_193817 | status=OK | decoded=DETECT 573ce2b 3902456 1864800 BB_BR 8969
11.05 16:35:45:590980932 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850654573365041_193814 | status=OK | decoded=DETECT ad0dd2b 2252528 6549328 BB_BR 9036
11.05 16:35:45:649893390 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850654590832662_193814 | status=OK | decoded=SPRO_ALERT ad0dd2b 2252528 6549328 9036
11.05 16:35:51:302453782 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850655145978804_193817 | status=OK | decoded=DETECT 1797e9b 9059949 2245780 BB_BR 9543
11.05 16:35:51:357854742 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850655163256668_193817 | status=OK | decoded=SPRO_ALERT 1797e9b 9059949 2245780 9543
11.05 16:35:58:983486898 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506558779506339_193817 | status=OK | decoded=DETECT 0c569eb 7092360 2990440 BB_BR 8866
11.05 16:36:05:645600187 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850656598550201_193817 | status=OK | decoded=DETECT 5891b0b 6631154 3426885 BB_BR 8729
11.05 16:36:16:370752665 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850657666407808_193814 | status=OK | decoded=DETECT ce3c66b 6015712 6560056 BB_BR 9758
11.05 16:36:16:419119438 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850657690066661_193814 | status=OK | decoded=SPRO_ALERT ce3c66b 6015712 6560056 9758
11.05 16:36:36:741205310 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506596629912497_193817 | status=OK | decoded=DETECT f5a985b 8593328 1359392 BB_BR 8324
11.05 16:36:36:785563028 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506596644899460_193817 | status=OK | decoded=SPRO_ALERT f5a985b 8593328 1359392 8324
11.05 16:36:45:921478102 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506605673461663_199153 | status=OK | decoded=DETECT ab662cb 2671600 2447100 BB_BR 8638
11.05 16:36:45:971907973 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506605697136266_199153 | status=OK | decoded=SHOT ab662cb BB_BR AMMO:5
11.05 16:36:47:590616690 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506607303792973_199153 | status=OK | decoded=DESTROYED ab662cb BB_BR
11.05 16:36:53:236258387 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506612843788010_193814 | status=OK | decoded=DETECT ab662cb 2671860 2455735 BB_BR 8638
11.05 16:36:53:290538692 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506612861329170_193814 | status=OK | decoded=SPRO_ALERT ab662cb 2671860 2455735 8638
11.05 16:37:09:116020716 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850662999952460_193817 | status=OK | decoded=DETECT 2cae3eb 5910621 2349560 BB_BR 9963
11.05 16:37:09:718687923 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506629119593829_193817 | status=OK | decoded=SPRO_ALERT 2cae3eb 5910621 2349560 9963
11.05 16:37:27:449869152 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506646945086938_193817 | status=OK | decoded=DETECT a55562b 5761875 2335300 BB_BR 8309
11.05 16:37:27:498867145 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506646964107146_193817 | status=OK | decoded=SPRO_ALERT a55562b 5761875 2335300 8309
11.05 16:38:40:481326567 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506720245223186_193814 | status=OK | decoded=DETECT 1797e9b 8901567 3437740 BB_BR 9543
11.05 16:38:40:532730803 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506720261162374_193814 | status=OK | decoded=SPRO_ALERT 1797e9b 8901567 3437740 9543
11.05 16:39:24:247429512 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850676447371460_193814 | status=OK | decoded=DETECT 2cae3eb 5070721 2885560 BB_BR 9963
11.05 16:39:24:291653857 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850676465349055_193814 | status=OK | decoded=SPRO_ALERT 2cae3eb 5070721 2885560 9963
11.05 16:39:30:429763239 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506770115557405_193814 | status=OK | decoded=SPRO_ALERT 147734b 4076289 4072112 9993
11.05 16:39:30:474801768 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_177850677095390945_193814 | status=OK | decoded=DETECT 147734b 4076289 4072112 BB_BR 9993
11.05 16:39:33:41020990 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506772824752303_199153 | status=OK | decoded=DETECT 147734b 4104795 4019360 BB_BR 9993
11.05 16:39:33:108853584 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506772849494671_199153 | status=OK | decoded=SHOT 147734b BB_BR AMMO:4
11.05 16:39:34:710373504 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506774404542164_199153 | status=OK | decoded=DESTROYED 147734b BB_BR
11.05 16:39:42:884645559 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506782460143300_193814 | status=OK | decoded=DETECT f5a985b 7822736 2211404 BB_BR 8324
11.05 16:39:42:929361656 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506782479359940_193814 | status=OK | decoded=SPRO_ALERT f5a985b 7822736 2211404 8324
11.05 16:39:45:562124126 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506785361948866_193817 | status=OK | decoded=DETECT a32759b 7280068 3216732 BB_BR 9789
11.05 16:39:48:634864038 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506788597847394_193814 | status=OK | decoded=DETECT 351088b 5403557 6472858 BB_BR 8104
11.05 16:39:48:678528733 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506788614146693_193814 | status=OK | decoded=SPRO_ALERT 351088b 5403557 6472858 8104
11.05 16:39:54:861489218 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506794645244555_193814 | status=OK | decoded=DETECT ef454db 7196894 6630940 BB_BR 8276
11.05 16:39:57:945364292 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506797552147538_193817 | status=OK | decoded=DETECT 5ae701b 6077572 2733456 BB_BR 8310
11.05 16:39:57:992451289 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506797574589646_193817 | status=OK | decoded=SPRO_ALERT 5ae701b 6077572 2733456 8310
11.05 16:40:01:58606355 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506800842234442_193814 | status=OK | decoded=DETECT 98c501b 4667755 3984805 BB_BR 8863
11.05 16:40:01:105923272 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506800858948142_193814 | status=OK | decoded=SPRO_ALERT 98c501b 4667755 3984805 8863
11.05 16:40:19:932013249 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506819522975615_193814 | status=OK | decoded=DETECT bbbf88b 4829497 6892825 BB_BR 9966
11.05 16:40:25:184827343 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506824889224042_206306 | status=OK | decoded=DETECT a3000ar 2507206 2880568 KR 302
11.05 16:40:25:261038779 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506824915729710_206306 | status=OK | decoded=SHOT a3000ar KR AMMO:19
11.05 16:40:25:924872820 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506825640395967_193814 | status=OK | decoded=DETECT fc9ff1b 3493858 7371004 BB_BR 9706
11.05 16:40:25:976220438 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506825658320721_193814 | status=OK | decoded=SPRO_ALERT fc9ff1b 3493858 7371004 9706
11.05 16:40:26:583981293 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506826341503497_206306 | status=OK | decoded=MISS a3000ar KR
11.05 16:40:26:642409451 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506826406099464_206306 | status=OK | decoded=SHOT a3000ar KR AMMO:18
11.05 16:40:28:271780363 | channel=to_kp | stage=received | file=ZRDN_3_KIEV_1778506827779893533_206306 | status=OK | decoded=DESTROYED a3000ar KR
11.05 16:40:42:573394791 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506842369699517_193817 | status=OK | decoded=DETECT 7bd04db 5872593 3629650 BB_BR 8455
11.05 16:40:42:617637822 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506842385965076_193817 | status=OK | decoded=SPRO_ALERT 7bd04db 5872593 3629650 8455
11.05 16:40:48:713868805 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506848569952146_193817 | status=OK | decoded=DETECT 98c501b 4749690 3685590 BB_BR 8863
11.05 16:41:24:771180179 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506884465148067_199153 | status=OK | decoded=DETECT 2cae3eb 4289614 3384040 BB_BR 9963
11.05 16:41:24:826071052 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506884490554441_199153 | status=OK | decoded=SHOT 2cae3eb BB_BR AMMO:3
11.05 16:41:26:395667863 | channel=to_kp | stage=received | file=SPRO_VORONEZSH_1778506885968024597_199153 | status=OK | decoded=DESTROYED 2cae3eb BB_BR
11.05 16:41:28:982056813 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506888804046952_193814 | status=OK | decoded=DETECT a32759b 7542876 2520724 BB_BR 9789
11.05 16:41:33:70275841 | channel=to_kp | stage=received | file=ZRDN_1_DONETSK_1778506892599884644_206304 | status=OK | decoded=DETECT 015d92r 3050239 2453744 KR 963
11.05 16:41:33:117871352 | channel=to_kp | stage=received | file=ZRDN_1_DONETSK_1778506892626082190_206304 | status=OK | decoded=SHOT 015d92r KR AMMO:19
11.05 16:41:33:674905494 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506893527813675_193817 | status=OK | decoded=DETECT f1aa04b 6785550 2960455 BB_BR 8299
11.05 16:41:33:725775356 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506893548066663_193817 | status=OK | decoded=SPRO_ALERT f1aa04b 6785550 2960455 8299
11.05 16:41:34:280218076 | channel=to_kp | stage=received | file=ZRDN_1_DONETSK_1778506894116612446_206304 | status=OK | decoded=DESTROYED 015d92r KR
11.05 16:41:41:980174632 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506901518143838_193814 | status=OK | decoded=DETECT a52ff4b 5679300 5201468 BB_BR 9829
11.05 16:41:47:592580429 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506907295098824_193817 | status=OK | decoded=DETECT 5ea0f9b 5638870 2575130 BB_BR 9387
11.05 16:41:47:646869483 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506907312618006_193817 | status=OK | decoded=SPRO_ALERT 5ea0f9b 5638870 2575130 9387
11.05 16:41:48:199997646 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506907608556942_193814 | status=OK | decoded=DETECT 5ae701b 6000379 3402192 BB_BR 8310
11.05 16:41:48:249755255 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506907629767547_193814 | status=OK | decoded=SPRO_ALERT 5ae701b 6000379 3402192 8310
11.05 16:41:54:891260281 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506914485993375_193814 | status=OK | decoded=DETECT 27d664b 4724813 4768958 BB_BR 9719
11.05 16:41:54:934097338 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778506914504808690_193814 | status=OK | decoded=SPRO_ALERT 27d664b 4724813 4768958 9719
11.05 16:42:00:530699564 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850692074030598_193817 | status=OK | decoded=DETECT 1fa829b 7963785 2629214 BB_BR 9670
11.05 16:42:00:583599664 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_177850692091334808_193817 | status=OK | decoded=SPRO_ALERT 1fa829b 7963785 2629214 9670
11.05 16:42:19:349793953 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506939256790706_193817 | status=OK | decoded=DETECT fa6b34b 5513890 3387080 BB_BR 9661
11.05 16:42:19:403821422 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506939275742970_193817 | status=OK | decoded=SPRO_ALERT fa6b34b 5513890 3387080 9661
11.05 16:42:59:971991705 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506979795191837_193817 | status=OK | decoded=DETECT f67ac0b 6391943 3499851 BB_BR 8052
11.05 16:43:00:20303937 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778506979815200740_193817 | status=OK | decoded=SPRO_ALERT f67ac0b 6391943 3499851 8052
11.05 16:43:27:433965258 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507007134224315_193817 | status=OK | decoded=DETECT 625498b 10121096 3433336 BB_BR 9598
11.05 16:43:27:485880111 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507007150381075_193817 | status=OK | decoded=SPRO_ALERT 625498b 10121096 3433336 9598
11.05 16:43:39:689663295 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507019630700673_193817 | status=OK | decoded=DETECT 4552cab 8597240 1770032 BB_BR 8039
11.05 16:43:39:736203280 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507019648162062_193817 | status=OK | decoded=SPRO_ALERT 4552cab 8597240 1770032 8039
11.05 16:44:23:400274712 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778507062954146784_193814 | status=OK | decoded=DETECT 625498b 10039260 3818285 BB_BR 9598
11.05 16:44:23:454166890 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778507062970981775_193814 | status=OK | decoded=SPRO_ALERT 625498b 10039260 3818285 9598
11.05 16:44:25:519707157 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507065332751449_193817 | status=OK | decoded=DETECT 3a09b2b 10936110 1713740 BB_BR 8436
11.05 16:44:25:579767313 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507065355352449_193817 | status=OK | decoded=SPRO_ALERT 3a09b2b 10936110 1713740 8436
11.05 16:44:31:687561400 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507071599123890_193817 | status=OK | decoded=DETECT 0e2431b 5279972 3805353 BB_BR 9724
11.05 16:44:35:832189452 | channel=to_kp | stage=received | file=RLS2_Dnepr_Khabarovsk_1778507075531333133_193814 | status=OK | decoded=DETECT 7bd04db 5377061 4997050 BB_BR 8455
11.05 16:44:44:464951650 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507084177994211_193817 | status=OK | decoded=DETECT 09f67ab 7448976 3214128 BB_BR 9287
11.05 16:44:44:523734982 | channel=to_kp | stage=received | file=RLS3_Voronezsh-DM_1778507084199654665_193817 | status=OK | decoded=SPRO_ALERT 09f67ab 7448976 3214128 9287
